,Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
3533,-46.04626,-56.69501,10.0,15.0,1997.0,-0.1684186516249631,-36.7368005696771,-2.4784872979858155,-1.1803539387273017,-2.5563167260762776,-2.545803808739305,-3.5564486669334427,-3.460947386067926,-4.601178164718543
3534,-65.896,-66.502,2.0,2.0,2006.0,2.0663309725297405,-6.868956140317838,-2.196424897165654,-2.924342277467316,-2.692669099063906,1.6481777407500309,-2.293625351622573,-36.7368005696771,-2.8877751320488967
3535,-66.635,-69.555,1.0,19.0,2001.0,-0.841392001023946,-25.014551088935153,-2.1087873568447373,-1.904569080637226,-1.8767466250636613,-1.0639119095400529,-20.971587098830856,-3.0577467720516895,-4.375959556669108
3536,-76.5435,-178.075,11.0,27.0,1997.0,-0.8840655845794179,-17.293492838634574,-3.1396026439736904,-2.78385191451849,-4.677740878822915,-2.0325579557809847,-4.615220521841581,-4.556380021818649,-36.7368005696771
3537,-69.3,-168.3667,3.0,5.0,1998.0,-1.88387475813586,-9.855822816617268,-6.907755278982026,-1.7316055464083073,-6.214608098422136,-3.170085660698766,-6.214608098422136,-6.907755278982026,-3.506557897319978
3538,31.795,-64.203,3.0,19.0,1993.0,-2.8647040111475848,-7.5847021877859335,-3.7297014486341866,-4.422848629194127,-5.298317366548014,-5.5214609178622185,-36.7368005696771,-36.7368005696771,-4.500914658416463
3539,31.892,-63.963,5.0,19.0,1994.0,-3.506557897319978,-12.967729131913869,-36.7368005696771,-4.422848629194127,-6.214608098422136,-5.80914299031399,-36.7368005696771,-36.7368005696771,-5.812339409550072
3540,31.625,-64.137,10.0,19.0,1994.0,-1.7486999797676075,-5.786852426148041,-4.828313737302287,-3.2701691192557485,-4.828313737302287,-3.1941832122778266,-6.214608098422136,-6.214608098422136,-3.9120230054281406
3541,31.641,-64.154,7.0,19.0,1996.0,-2.9187712324178605,-6.247955149617496,-36.7368005696771,-4.135166556742349,-5.5214609178622185,-5.5214609178622185,-6.907755278982026,-36.7368005696771,-4.60517018598808
3542,31.603,-64.164,7.0,19.0,1996.0,-3.015934980871508,-6.169003855897404,-36.7368005696771,-4.199705077879919,-5.80914299031399,-5.80914299031399,-6.907755278982026,-36.7368005696771,-4.509860006183756
3543,33.281,-61.188,7.0,19.0,1997.0,-2.780620893937044,-16.79716846985734,-36.7368005696771,-4.074541934925914,-5.298317366548014,-5.5214609178622185,-36.7368005696771,-36.7368005696771,-36.7368005696771
3544,31.683,-64.109,10.0,19.0,1998.0,-2.780620893937044,-6.476791444683845,-5.80914299031399,-4.342805921520592,-5.298317366548014,-5.5214609178622185,-6.214608098422136,-36.7368005696771,-7.908512205912175
3545,31.682,-64.149,11.0,20.0,2001.0,-2.2926347621408762,-3.621733639039497,-4.828313737302287,-4.710530701645905,-4.961845129926808,-5.5214609178622185,-6.907755278982026,-6.214608098422136,-3.243973935345382
3546,31.674,-64.165,2.0,20.0,2005.0,-1.200645014233261,-3.5339465291322814,-3.4112477175156535,-2.6036901857779657,-3.540459448995659,-4.342805921520592,-6.214608098422136,-5.272628901671896,-3.381394754365972
3547,31.797,-64.739,9.0,20.0,2006.0,-3.218875824868198,-5.522316085307758,-5.80914299031399,-4.422848629194127,-5.5214609178622185,-5.80914299031399,-6.907755278982026,-6.907755278982026,-3.7722610630529827
3548,31.667,-64.165,9.0,20.0,2006.0,-3.4737680744969874,-6.88105651387878,-6.214608098422136,-4.710530701645905,-5.80914299031399,-6.214608098422136,-6.907755278982026,-6.907755278982026,-4.074541934925914
3549,13.2501,64.9988,1.0,20.0,1995.0,-1.0729445419195316,-3.7722610630529827,-2.7488721956224635,-2.0635681925235447,-2.5902671654458254,-3.7722610630529827,-4.710530701645905,-6.907755278982026,-2.538307426515114
3550,19.883,65.8835,7.0,20.0,1995.0,-0.7808860948679518,-1.6607312068216502,-3.3242363405260242,-2.2730262907525,-3.057607677272076,-4.017383521085966,-4.828313737302287,-6.214608098422136,-1.9661128563728318
3551,19.883,65.8835,7.0,20.0,1995.0,-0.7787050689215916,-1.6713133161521871,-3.218875824868198,-2.2730262907525,-3.1235656450638736,-4.135166556742349,-4.509860006183756,-6.214608098422136,-1.9732813458514444
3552,17.1106,59.9874,8.0,8.0,1995.0,-0.8770700187208735,-36.7368005696771,-2.8647040111475848,-1.6766466621275498,-2.6036901857779657,-3.036554268074244,-4.017383521085966,-5.298317366548014,-3.036554268074244
3553,16.798,60.5018,8.0,6.0,1995.0,-0.8347107448817319,-6.214608098422136,-2.8302178350764158,-1.594549299940349,-2.551046452292544,-3.015934980871508,-4.509860006183756,-5.80914299031399,-2.882403588246986
3554,18.6499,57.7507,8.0,12.0,1995.0,-0.398986142010455,-36.7368005696771,-1.7486999797676075,-1.7259717286900513,-2.333044300478753,-2.1892564076870413,-4.135166556742349,-4.60517018598808,-2.3025850929940446
3555,17.1771,59.7829,9.0,8.0,1995.0,-0.8141855089370011,-36.7368005696771,-3.506557897319978,-2.282782465697865,-3.036554268074244,-1.7544636844843575,-4.199705077879919,-6.907755278982026,-4.268697949366871
3556,17.1996,59.7657,9.0,7.0,1995.0,-0.7298111649315365,-36.7368005696771,-4.074541934925914,-2.563949857128452,-3.35240721749272,-1.7372712839439848,-3.9120230054281406,-6.907755278982026,-4.342805921520592
3557,19.2822,60.32,11.0,23.0,1995.0,-0.7486598904902039,-2.419118909249996,-2.847312268435716,-1.8263509139976732,-2.882403588246986,-3.540459448995659,-3.6119184129778037,-5.115995809754064,-2.4418471603275522
3558,14.9128,66.8861,12.0,8.0,1995.0,-1.283737772794798,-3.688879454113932,-2.9565115604007075,-1.9105430052180212,-2.882403588246986,-4.268697949366871,-5.115995809754064,-36.7368005696771,-3.036554268074244
3559,2.165,-140.0119,2.0,18.0,1992.0,-1.5750364857167676,-2.5079879246634773,-3.575550768806929,-2.8302178350764158,-4.017383521085966,-5.115995809754064,-4.828313737302287,-36.7368005696771,-2.2633643798407634
3560,4.9483,-139.9017,8.0,21.0,1992.0,-1.7316055464083073,-2.690358622187931,-3.7297014486341866,-3.036554268074244,-4.509860006183756,-5.5214609178622185,-36.7368005696771,-36.7368005696771,-2.4889146711855377
3561,2.0933,-140.1917,8.0,24.0,1992.0,-1.3394107752210398,-17.613398076092427,-3.6119184129778037,-2.551046452292544,-2.937463365430013,-2.796881414808824,-4.199705077879919,-36.7368005696771,-3.6119184129778037
3562,-12.0,-145.489,9.0,25.0,1992.0,-2.476938480138822,-3.1958975667247596,-5.298317366548014,-3.863232841258709,-5.5214609178622185,-6.214608098422136,-36.7368005696771,-36.7368005696771,-2.5770219386958044
3563,-0.0032,-140.0383,10.0,10.0,1992.0,-1.1177951080848834,-12.971654662308536,-3.29683736633791,-2.4418471603275522,-2.9565115604007075,-2.9759296462578093,-5.115995809754064,-36.7368005696771,-2.6172958378337445
3564,64.6926,-35.55323,8.0,15.0,2002.0,0.2245026273518408,-30.062527234881134,-4.280915133305462,-2.0712353051327357,-3.479915966373557,-0.0672622270591677,-4.0302436368155705,-4.121510230294864,-4.866534950122484
3565,64.6926,-35.55323,8.0,15.0,2002.0,0.2245026273518408,-30.062527234881134,-4.280915133305462,-2.0712353051327357,-3.479915966373557,-0.0672622270591677,-4.0302436368155705,-4.121510230294864,-4.866534950122484
3566,-65.1106666666667,-67.0825,4.0,15.0,1993.0,-1.0729153025809235,-23.679374511138327,-3.280990618939997,-3.322848415251176,-3.410944733117032,-2.059215474635156,-36.7368005696771,-36.7368005696771,-36.7368005696771
3567,-66.3756666666667,-70.1681666666667,4.0,21.0,1993.0,-1.2770454152152617,-25.296382236270873,-4.031933302100698,-3.5965920200239587,-3.688399569277081,-2.2317911776939656,-4.347509272648312,-36.7368005696771,-36.7368005696771
3568,-66.003,-67.969,1.0,20.0,2003.0,-0.975510091534126,-17.331104794218856,-5.115995809754064,-1.2658482080440232,-3.218875824868198,-2.364460496712132,-36.7368005696771,-4.509860006183756,-6.214608098422136
3569,-68.101,-68.54,1.0,28.0,2003.0,1.3254822217231332,-21.63447132137393,-1.9805015938249315,-2.2256240518579165,-3.4737680744969874,0.6830968447064438,-3.015934980871508,-1.5005835075220177,-36.7368005696771
3570,-64.089,-66.553,1.0,9.0,2004.0,-2.780620893937044,-15.791460181058753,-5.298317366548014,-2.7333680090864982,-4.074541934925914,-3.036554268074244,-4.017383521085966,-4.199705077879919,-6.214608098422136
3571,-66.38,-70.155,1.0,21.0,2004.0,-1.9951003932460842,-18.592466983570525,-4.828313737302287,-1.9951003932460842,-4.135166556742349,-2.63108915996608,-36.7368005696771,-2.322787800311564,-5.5214609178622185
3572,-65.97656667,-71.0768,1.0,14.0,1999.0,-1.0799868245449444,-19.00263241670133,-4.733003557497963,-2.5071522587353186,-4.327538449389803,-2.5796569863338097,-5.259096653394734,-4.99083266680006,-7.418580902747943
3573,-66.25555,-67.34713333,1.0,28.0,1999.0,-0.28595023960702204,-23.52730383150838,-4.057048777478397,-2.3870542496204945,-3.420380201078926,-2.1533033902782903,-5.878135861800939,-1.6440293572037188,-36.7368005696771
3574,-66.00256667,-67.97008333,1.0,28.0,1999.0,-0.8462983600541198,-14.58928453632618,-4.546901277864105,-1.9268921432195507,-3.01389624418166,-1.9877743531540113,-36.7368005696771,-4.374058465024696,-36.7368005696771
3575,-67.24788333,-71.23678333,2.0,2.0,1999.0,0.2117185336447423,-15.24687881879567,-3.89713439293439,-1.971843531081817,-2.366590422969957,-1.7897614665653812,-3.8490482062667524,-0.7887774115751952,-36.7368005696771
3576,-67.9026333333333,-69.6173833333333,2.0,3.0,1997.0,-0.022961611637346925,-19.672616825365424,-4.474141923581677,-1.9248338234533964,-3.3159375377113287,-1.2786963505218722,-3.676950883248658,-2.0996442489973544,-36.7368005696771
3577,-63.5466666666667,-64.8833333333333,11.0,15.0,1991.0,-1.4687633431513314,-13.52111735973034,-2.5550213610161943,-2.996208111546932,-4.1210025650972675,-3.3202029854493853,-36.7368005696771,-4.956264502066125,-36.7368005696771
3578,-64.985,-67.3966666666667,11.0,16.0,1991.0,-1.0073375128925222,-25.241424869297113,-2.9331223691276014,-2.3669990318123153,-3.679047301332626,-2.724749776049043,-36.7368005696771,-36.7368005696771,-36.7368005696771
3579,36.898,-75.909,5.0,11.0,2006.0,1.2921210348526286,-9.210340371975072,-1.7677418644277034,-2.454571449991926,-2.8877751320488967,0.18929717053037998,-2.6478962782824613,-1.9248338234533964,-1.9477117710019407
3580,38.6627,-74.8071,7.0,6.0,2006.0,1.9386841039635738,-9.210340371975072,-1.016663706020942,-1.9761631922263334,-3.038639774565265,0.53321314264362,0.1617786555626254,-2.4304184645039295,-1.0441241033840396
3581,-17.65902,11.3307,5.0,25.0,1998.0,0.8738006802532029,-36.7368005696771,-36.7368005696771,-2.048795951565448,-36.7368005696771,0.1127928274751223,-36.7368005696771,-36.7368005696771,-36.7368005696771
3582,-65.838,-66.815,1.0,18.0,2006.0,1.7059836922066511,-7.837640750898529,-2.8752861204781217,-0.32213550052116,-2.65640696795037,1.7641484355198727,-2.2595256035335978,-3.58632286578884,-3.7090821614314513
3583,-65.694,-66.538,2.0,2.0,2006.0,2.3089448269466275,-7.075331373151175,-2.543383579546975,-1.4146938356415881,-2.9318189478103363,1.9771042293120138,-2.5929373940017038,-36.7368005696771,-4.645992180508335
3584,-65.8783333333333,-68.2825,1.0,28.0,1993.0,-1.0217901460668248,-19.549853983405118,-36.7368005696771,-1.917607537529883,-3.114992703194613,-1.830675606049416,-4.456085298504807,-36.7368005696771,-36.7368005696771
3585,-65.111,-67.086,1.0,12.0,2006.0,0.5810976767513225,-7.453452878725678,-1.9826778732475272,-3.5098967985854927,-1.6793240398982663,0.09794307432996417,-2.2926347621408762,-5.1849886812410135,-5.878135861800939
3586,-66.763,-69.242,1.0,19.0,2006.0,1.1657723705106324,-7.829024938647722,-36.7368005696771,-2.377308639189981,-1.965398825639175,0.8917111128997645,-2.5282317745263727,-4.710530701645905,-4.474141923581677
3587,-67.509,-70.592,1.0,25.0,2006.0,1.0785116169611069,-8.202905912621265,-3.821268642159677,-2.509609262428371,-3.6969116258111963,1.0286189168475748,-3.457767733150546,-4.744432253321587,-36.7368005696771
3588,31.389,-64.702,1.0,19.0,1992.0,-1.1973282616072671,-8.027708415906972,-3.35240721749272,-2.7333680090864982,-3.575550768806929,-4.017383521085966,-36.7368005696771,-4.268697949366871,-3.8464216452692814
